Descricao,Valor
"ALFADORNASE 2,5 MG (POR AMPOLA)","0,00"
ALFAEPOETINA 1.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 10.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 2.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 3.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 4.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAINTERFERONA 2B 10.000.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"262,45"
ALFAINTERFERONA 2B 3.000.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"92,33"
ALFAINTERFERONA 2B 5.000.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"138,03"
ALFAPEGINTERFERONA 2A 180MCG (POR SERINGA PREENCHIDA),"0,00"
ALFAPEGINTERFERONA 2B 100MCG (POR FRASCO-AMPOLA),"0,00"
ALFAPEGINTERFERONA 2B 120MCG (POR FRASCO-AMPOLA),"0,00"
ALFAPEGINTERFERONA 2B 80MCG (POR FRASCO-AMPOLA),"0,00"
ALFATALIGLICERASE 200 U INJETÁVEL (POR FRASCO AMPOLA),"0,00"
ALFAVELAGLICERASE 200 U INJETÁVEL (POR FRASCO AMPOLA),"0,00"
ALFAVELAGLICERASE 400 U INJETÁVEL (POR FRASCO AMPOLA),"0,00"
ALMOFADA DE ASSENTO PARA CADEIRA DE RODAS PARA PREVENÇÃO DE ÚLCERAS DE PRESSÃO - SIMPLES,"17,38"
ALMOFADA DE ASSENTO PARA PREVENÇÃO DE ÚLCERAS DE PRESSÃO EM CÉLULAS DE AR,"995,00"
ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO,"253,93"
ALONGAMENTO DE COLUMELA,"200,76"
ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRANIO E BUCOMAXILOFACIAL,"432,24"
ALONGAMENTO E/OU TRANSPORTE DE OSSOS DA MÃO E/OU DO PE,"258,26"
ALONGAMENTO E/OU TRANSPORTE ÓSSEO DE OSSOS LONGOS (EXCETO DA MÃO E DO PÉ),"809,74"
ALTEPLASE 10MG INJETÁVEL ( POR FRASCO AMPOLA),"167,00"
ALTEPLASE 20MG INJETÁVEL (POR FRASCO AMPOLA),"334,00"
ALTEPLASE 50MG INJETÁVEL (POR FRASCO AMPOLA),"835,00"
ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRANIOFACIAL,"1.003,10"
AMANTADINA 100 MG (POR COMPRIMIDO),"0,41"
AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO),"25,72"
AMBRISENTANA 5MG (POR COMPRIMIDO REVESTIDO),"25,53"
AMIGDALECTOMIA,"45,47"
AMIGDALECTOMIA C/ ADENOIDECTOMIA,"35,53"
AMNIOCENTESE,"2,20"
AMNIOSCOPIA,"1,69"
AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO DIREITO E/OU RAMOS PULMONARES,"11.187,16"
AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO DIREITO E/OU RAMOS PULMONARES (CRIANÇA E ADOLESCENTE),"15.991,52"
AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO,"12.849,23"
AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO (CRIANÇA E ADOLESCENTE),"19.664,32"
AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,"28,42"
AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,"193,30"
AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES,"892,74"
AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA,"2.860,63"
AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,"359,46"
AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES EM ONCOLOGIA,"2.860,63"
AMPUTAÇÃO / DESARTICULAÇÃO DE PÉ E TARSO,"274,01"
AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA,"5.556,76"
AMPUTAÇÃO COMPLETA ABDOMINO-PERINEAL DO RETO,"1.403,90"
AMPUTAÇÃO CÔNICA DE COLO DE ÚTERO COM COLPECTOMIA EM ONCOLOGIA,"1.808,69"
AMPUTAÇÃO DE PÊNIS,"505,01"
AMPUTAÇÃO DE PÊNIS EM ONCOLOGIA,"839,28"
AMPUTAÇÃO POR PROCIDENCIA DE RETO,"716,48"
AMPUTAÇÃO TOTAL AMPLIADA DE PÊNIS EM ONCOLOGIA,"1.091,07"
ANALGESIA OBSTÉTRICA P/ PARTO NORMAL,"48,30"
