Descricao,Valor
ARTROCENTESE DE PEQUENAS ARTICULAÇÕES,"0,00"
ARTRODESE CERVICAL / CÉRVICO TORÁCICA POSTERIOR CINCO NÍVEIS,"2.781,70"
ARTRODESE CERVICAL / CÉRVICO TORÁCICA POSTERIOR QUATRO NÍVEIS,"2.781,70"
ARTRODESE CERVICAL / CÉRVICO-TORÁCICA POSTERIOR DOIS NÍVEIS,"1.303,00"
ARTRODESE CERVICAL / CÉRVICO-TORÁCICA POSTERIOR SEIS NÍVEIS,"1.600,27"
ARTRODESE CERVICAL / CÉRVICO-TORÁCICA POSTERIOR TRÊS NÍVEIS,"2.781,70"
ARTRODESE CERVICAL / CÉRVICO-TORÁCICA POSTERIOR UM NÍVEL,"1.576,00"
ARTRODESE CERVICAL ANTERIOR C1-C2 VIA TRANS-ORAL / EXTRA-ORAL,"1.719,06"
ARTRODESE CERVICAL ANTERIOR CINCO NÍVEIS,"2.781,70"
ARTRODESE CERVICAL ANTERIOR DOIS NÍVEIS,"1.413,00"
ARTRODESE CERVICAL ANTERIOR QUATRO NÍVEIS,"2.781,70"
ARTRODESE CERVICAL ANTERIOR TRÊS NÍVEIS,"2.072,72"
ARTRODESE CERVICAL ANTERIOR UM NÍVEL,"1.413,00"
ARTRODESE CERVICAL POSTERIOR C1-C2,"1.303,15"
ARTRODESE COXOFEMORAL,"1.635,28"
ARTRODESE DA SÍNFISE PÚBICA,"784,95"
ARTRODESE DE ARTICULAÇÕES SACROILIACAS,"784,95"
ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-TORÁCICAS,"354,91"
ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-UMERAIS,"377,40"
ARTRODESE DE MEDIAS / GRANDES ARTICULAÇÕES DE MEMBRO INFERIOR,"371,12"
ARTRODESE DE MEDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR,"230,37"
ARTRODESE DE PEQUENAS ARTICULAÇÕES,"213,79"
ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL DOIS NÍVEIS,"2.166,29"
ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL QUATRO NÍVEIS,"2.166,29"
ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL TRÊS NÍVEIS,"2.166,29"
ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL UM NÍVEL,"1.883,27"
ARTRODESE OCCIPTO-CERVICAL (C2) POSTERIOR,"1.554,00"
ARTRODESE OCCIPTO-CERVICAL (C3)POSTERIOR,"1.554,00"
ARTRODESE OCCIPTO-CERVICAL (C4)POSTERIOR,"1.554,00"
ARTRODESE OCCIPTO-CERVICAL (C5) POSTERIOR,"1.554,00"
ARTRODESE OCCIPTO-CERVICAL (C6)POSTERIOR,"1.554,00"
ARTRODESE OCCIPTO-CERVICAL (C7) POSTERIOR,"1.554,00"
ARTRODESE TORACO-LOMBO-SACRA ANTERIOR DOIS NÍVEIS,"1.720,27"
ARTRODESE TORACO-LOMBO-SACRA ANTERIOR UM NÍVEL,"1.722,29"
"ARTRODESE TORACO-LOMBO-SACRA ANTERIOR, TRÊS NÍVEIS,","2.781,70"
ARTRODESE TORACO-LOMBO-SACRA POSTERIOR CINCO NÍVEIS,"2.781,70"
ARTRODESE TORACO-LOMBO-SACRA POSTERIOR TRÊS NÍVEIS,"2.781,70"
ARTRODESE TORACO-LOMBO-SACRA POSTERIOR UM NÍVEL,"1.722,37"
"ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NÍVEIS,","2.781,70"
"ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, QUATRO NÍVEIS,","2.781,70"
"ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SEIS NÍVEIS,","2.781,70"
"ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SETE NÍVEIS,","2.781,70"
ARTROGRAFIA,"45,34"
ARTROPLASTIA DA ARTICULAÇÃO TEMPORO-MANDIBULAR (RECIDIVANTE OU NÃO),"363,33"
ARTROPLASTIA DE ARTICULAÇÃO DA MÃO,"316,48"
ARTROPLASTIA DE CABECA DO RADIO,"282,66"
ARTROPLASTIA DE JOELHO (NÃO CONVENCIONAL),"1.602,18"
ARTROPLASTIA DE PUNHO,"246,43"
ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL),"1.635,27"
ARTROPLASTIA DE RESSECCAO DE MEDIA / GRANDE ARTICULAÇÃO,"1.104,38"
ARTROPLASTIA DE RESSECCAO DE PEQUENAS ARTICULAÇÕES,"268,41"
ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,"1.678,87"
ARTROPLASTIA ESCAPULO-UMERAL (NÃO CONVENCIONAL),"592,14"
ARTROPLASTIA ESCAPULO-UMERAL PARCIAL,"613,35"
ARTROPLASTIA ESCAPULO-UMERAL TOTAL,"592,14"
ARTROPLASTIA ESCAPULO-UMERAL TOTAL - REVISÃO / RECONSTRUÇÃO,"597,80"
ARTROPLASTIA PARCIAL DE QUADRIL,"1.570,66"
ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,"1.916,09"
ARTROPLASTIA TOTAL DE COTOVELO,"494,93"
ARTROPLASTIA TOTAL DE COTOVELO (REVISÃO / RECONSTRUÇÃO),"402,58"
ARTROPLASTIA TOTAL DE JOELHO - REVISÃO / RECONSTRUÇÃO,"1.541,34"
ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,"1.154,84"
ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA,"1.635,27"
ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HIBRIDA,"1.214,72"
ARTROPLASTIA UNICOMPARTIMENTAL PRIMARIA DO JOELHO,"1.154,84"
ASSISTÊNCIA AO PARTO SEM DISTOCIA,"0,00"
ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENÇÃO ESPECIALIZADA,"18,29"
ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.,"0,00"
ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MEDIO,"0,00"
ASSISTÊNCIA DOMICILIAR TERAPEUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM),"18,29"
ATENÇÃO ÀS SITUAÇÕES DE CRISE,"0,00"
ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITAÇÃO DO DESENVOLVIMENTO NEUROPSICOMOTOR,"17,67"
ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS,"7,71"
ATENDIMENTO A DENÚNCIAS/RECLAMAÇÕES,"0,00"
ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS,"66,47"
ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES,"74,75"
ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS,"73,72"
ATENDIMENTO AO RECÉM-NASCIDO NO MOMENTO DO NASCIMENTO,"55,20"
ATENDIMENTO CLÍNICO PARA INDICACAO E FORNECIMENTO DO DIAFRAGMA UTERINO,"0,00"
ATENDIMENTO DE ADOLESCENTES EM CUMPRIMENTO DE MEDIDAS SOCIOEDUCATIVAS,"0,00"
ATENDIMENTO DE PACIENTE EM CUIDADOS PALIATIVOS,"0,00"
ATENDIMENTO DE URGÊNCIA C/ OBSERVAÇÃO ATE 24 HORAS EM ATENÇÃO ESPECIALIZADA,"12,47"
ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA,"0,00"
ATENDIMENTO DE URGÊNCIA EM ATENÇÃO ESPECIALIZADA,"11,00"
ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM OBSERVAÇÃO ATE 8 HORAS,"0,00"
ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO,"0,00"
ATENDIMENTO DE URGÊNCIA EM MEDIO E GRANDE QUEIMADO,"279,96"
ATENDIMENTO DE URGÊNCIA EM PEQUENO QUEIMADO,"0,00"
ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENÇÃO PSICOSSOCIAL E/OU FAMILIARES,"0,00"
ATENDIMENTO EM GERIATRIA (1 TURNO),"21,98"
ATENDIMENTO EM GERIATRIA (2 TURNOS),"25,03"
ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ATENDIMENTO EM GRUPO NA ATENÇÃO PRIMARIA,"0,00"
ATENDIMENTO EM OFICINA TERAPÊUTICA I - SAUDE MENTAL,"6,11"
ATENDIMENTO EM OFICINA TERAPÊUTICA I PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA),"6,66"
ATENDIMENTO EM OFICINA TERAPÊUTICA II - SAUDE MENTAL,"23,16"
ATENDIMENTO EM OFICINA TERAPÊUTICA II PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA),"25,24"
ATENDIMENTO EM PSICOTERAPIA DE GRUPO,"5,59"
ATENDIMENTO FAMILIAR EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ATENDIMENTO FISIOTERAPÊUTICO DE PACIENTE COM CUIDADOS PALIATIVOS,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C/ COMPROMETIMENTO COGNITIVO,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM ALTERAÇÕES OCULOMOTORAS PERIFÉRICAS,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM SEQUELAS POR QUEIMADURAS (MÉDIO E GRANDE QUEIMADO "4,67"
ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLÍNICO CARDIOVASCULAR,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS,"6,35"
ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE GRANDE QUEIMADO,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE MEDIO QUEIMADO,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NEONATO,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ E PÓS CIRURGIA ONCOLÓGICA,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS CIRURGIAS UROGINECOLÓGICAS,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS-OPERATÓRIO DE NEUROCIRURGIA,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ONCOLÓGICO CLÍNICO,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE PRÉ/PÓS CIRURGIA CARDIOVASCULAR,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES C/ DISFUNÇÕES UROGINECOLÓGICAS,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM ALTERAÇÕES OCULOMOTORAS CENTRAIS C/ COMPROMETI,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS COM COMPLICA,"6,35"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS SEM COMPLICA,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MUSCULO ESQU,"E 6,35"
ATENDIMENTO FISIOTERAPÊUTICO NAS ALTERAÇÕES MOTORAS,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR,"4,67"
ATENDIMENTO FISIOTERAPÊUTICO NAS DISFUNÇÕES VASCULARES PERIFÉRICAS,"4,67"
ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA,"2,55"
ATENDIMENTO MÉDICO COM FINALIDADE DE ATESTAR ÓBITO,"0,00"
ATENDIMENTO MÉDICO EM UNIDADE DE PRONTO ATENDIMENTO,"11,00"
ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL,"100,00"
ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA,"13,00"
ATENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANÇADO DE VIDA REALIZADO POR EMBARCAÇÃO,"0,00"
ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA),"0,00"
ATENDIMENTO PRE-HOSPITALAR MOVEL (VEÍCULO DE INTERVENÇÃO RÁPIDA),"0,00"
ATENDIMENTO PRE-HOSPITALAR MÓVEL DE SALVAMENTO E RESGATE,"19,81"
ATENDIMENTO PRE-HOSPITALAR MÓVEL DE SALVAMENTO E RESGATE MEDICALIZADO,"29,73"
ATENDIMENTO PRE-HOSPITALAR MÓVEL PELO SAMU 192: SALVAMENTO E RESGATE (AMBULÂNCIA TIPO C),"0,00"
ATENDIMENTO/ACOMPANHAMENTO EM REABILITAÇÃO VISUAL,"12,00"
ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FISICA (1 TURNO PACIENTE-DIA - 15,"17,55"
ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,"2,70"
ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,"0,00"
ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR,"0,00"
ATIVIDADE EDUCATIVA PARA A POPULAÇÃO,"0,00"
ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO,"0,00"
"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO","0,00"
"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SET","0,00"
ATORVASTATINA 10 MG (POR COMPRIMIDO),"0,00"
ATORVASTATINA 20 MG (POR COMPRIMIDO),"0,00"
ATORVASTATINA 40 MG (POR COMPRIMIDO),"0,00"
ATRIOSEPTOSTOMIA COM CATETER BALÃO,"1.058,86"
ÁUDIO PROCESSADOR DA PRÓTESE AUDITIVA ANCORADA NO OSSO,"15.007,50"
AUDIOMETRIA DE REFORCO VISUAL (VIA AEREA / OSSEA),"21,00"
AUDIOMETRIA EM CAMPO LIVRE,"20,13"
AUDIOMETRIA TONAL LIMIAR (VIA AEREA / OSSEA),"21,00"
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTA,"0,00"
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTA,"0,00"
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTA,"0,00"
AUTONOMIZAÇÃO DE RETALHO,"31,28"
AUTO-PROVA CRUZADA EM RECEPTOR DE RIM (AUTO CROSS-MATCH),"45,51"
AVALIAÇÃO ANTROPOMÉTRICA,"0,00"
AVALIACAO AUDITIVA COMPORTAMENTAL,"18,00"
AVALIACAO CINEMATICA E DE PARAMETROS LINEARES,"1,26"
"AVALIACAO CINETICA, CINEMATICA E DE PARAMETROS LINEARES","1,26"
AVALIACAO CLINICA DE DIAGNOSTICO DE DOENÇAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,"600,00"
AVALIACAO CLINICA DE MORTE ENCEFÁLICA EM MAIOR DE 2 ANOS,"215,00"
AVALIACAO CLINICA DE MORTE ENCEFÁLICA EM MENOR DE 2 ANOS,"275,00"
AVALIAÇÃO CLÍNICA E ELETRÔNICA DE DISPOSITIVO ELÉTRICO CARDÍACO IMPLANTÁVEL,"31,50"
AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 1-ANOMALIAS CONGÊNITAS OU DE MANIFEST,"800,00"
AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 2- DEFICIENCIA INTELECTUAL,"800,00"
AVALIAÇÃO DE EQUILIBRIO ESTATICO EM PLACA DE FORCA,"1,26"
AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA,"10,00"
AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS,"10,00"
AVALIAÇÃO DE LINGUAGEM ESCRITA / LEITURA,"4,11"
AVALIAÇÃO DE LINGUAGEM ORAL,"4,11"
AVALIAÇÃO DE MARCAPASSO,"0,00"
AVALIAÇÃO DE MOVIMENTO (POR IMAGEM),"1,26"
AVALIAÇÃO DE REATIVIDADE CONTRA PAINEL-CLASSE I OU CLASSE II (MÍNIMO 30 LINFÓCITOS),"180,00"
AVALIAÇÃO DE REATIVIDADE DO RECEPTOR CONTRA PAINEL DE CLASSE I OU CLASSE II (MÍNIMO 30 LINFÓCITOS),"180,00"
AVALIAÇÃO DO CRESCIMENTO NA PUERICULTURA,"0,00"
AVALIAÇÃO DO DESENVOLVIMENTO DA CRIANÇA NA PUERICULTURA,"0,00"
AVALIAÇÃO DO ESTÁGIO DE MATURAÇÃO SEXUAL,"0,00"
AVALIAÇÃO DO POSSÍVEL DOADOR FALECIDO DE ORGÃOS OU TECIDOS PARA TRANSPLANTES,"215,00"
AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA IMPLANTE COCLEAR,"46,56"
AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO,"46,56"
AVALIAÇÃO FUNCIONAL MUSCULAR,"1,26"
AVALIAÇÃO MIOFUNCIONAL DE SISTEMA ESTOMATOGNÁTICO,"4,11"
AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA,"0,00"
AVALIAÇÃO MULTIPROFISSIONAL EM DEFICIÊNCIA VISUAL,"24,68"
AVALIAÇÃO P/ DIAGNÓSTICO DE DEFICIENCIA AUDITIVA,"24,75"
AVALIAÇÃO P/ DIAGNÓSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA,"46,56"
AVALIAÇÃO URODINÂMICA COMPLETA,"7,62"
AVALIAÇÃO VOCAL,"4,11"
AZATIOPRINA 50 MG (POR COMPRIMIDO),"0,00"
BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE),"4,20"
BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE),"4,20"
BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA),"4,20"
BACTERIOSCOPIA (GRAM),"2,80"
BAINHA P/ PUNÇÃO TRANSEPTAL,"324,51"
BALÃO DESTACÁVEL,"788,56"
BANDAGEM DA ARTERIA PULMONAR,"5.629,58"
BANDAGEM DA ARTERIA PULMONAR (CRIANÇA E ADOLESCENTE),"12.246,65"
BARRA SACRAL,"70,00"
BARREIRAS PROTETORAS DE PELE SINTÉTICA E/OU MISTA EM FORMA DE PO / PASTA E/OU PLACA,"17,50"
