CÓLERA,A00
DOENÇA NÃO ESPECIFICADA DEVIDA A PROTOZOÁRIOS,B64
ESQUISTOSSOMOSE [BILHARZIOSE] [SCHISTOSOMÍASE],B65
OUTRAS INFESTAÇÕES POR TREMATÓDEOS,B66
EQUINOCOCOSE,B67
INFESTAÇÃO POR TAENIA,B68
CISTICERCOSE,B69
DIFILOBOTRÍASE E ESPARGANOSE,B70
OUTRAS INFESTAÇÕES POR CESTÓIDES,B71
DRACONTÍASE,B72
ONCOCERCOSE,B73
FILARIOSE,B74
TRIQUINOSE,B75
ANCILOSTOMÍASE,B76
ASCARIDÍASE,B77
ESTRONGILOIDÍASE,B78
TRICURÍASE,B79
OXIURÍASE,B80
"OUTRAS HELMINTÍASES INTESTINAIS, NÃO CLASSIFICADAS EM OUTRA PARTE",B81
PARASITOSE INTESTINAL NÃO ESPECIFICADA,B82
OUTRAS HELMINTÍASES,B83
PEDICULOSE E FTIRÍASE,B85
ESCABIOSE [SARNA],B86
MIÍASE,B87
OUTRAS INFESTAÇÕES,B88
DOENÇA PARASITÁRIA NÃO ESPECIFICADA,B89
SEQÜELAS DE TUBERCULOSE,B90
SEQÜELAS DE POLIOMIELITE,B91
SEQÜELAS DE HANSENÍASE [LEPRA],B92
SEQÜELAS DE OUTRAS DOENÇAS INFECCIOSAS E PARASITÁRIAS E DAS NÃO ESPECIFICADAS,B94
ESTREPTOCOCOS E ESTAFILOCOCOS COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS,B95
"OUTROS AGENTES BACTERIANOS, COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS",B96
VÍRUS COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS,B97
"DOENÇAS INFECCIOSAS, OUTRAS E AS NÃO ESPECIFICADAS",B99
NEOPLASIA MALIGNA DO LÁBIO,C00
NEOPLASIA MALIGNA DA BASE DA LÍNGUA,C01
NEOPLASIA MALIGNA DE OUTRAS PARTES E DE PARTES NÃO ESPECIFICADAS DA LÍNGUA,C02
NEOPLASIA MALIGNA DA GENGIVA,C03
NEOPLASIA MALIGNA DO ASSOALHO DA BOCA,C04
NEOPLASIA MALIGNA DO PALATO,C05
NEOPLASIA MALIGNA DE OUTRAS PARTES E DE PARTES NÃO ESPECIFICADAS DA BOCA,C06
NEOPLASIA MALIGNA DA GLÂNDULA PARÓTIDA,C07
NEOPLASIA MALIGNA DE OUTRAS GLÂNDULAS SALIVARES MAIORES E AS NÃO ESPECIFICADAS,C08
NEOPLASIA MALIGNA DA AMÍGDALA,C09
NEOPLASIA MALIGNA DA OROFARINGE,C10
NEOPLASIA MALIGNA DA NASOFARINGE,C11
NEOPLASIA MALIGNA DO SEIO PIRIFORME,C12
NEOPLASIA MALIGNA DA HIPOFARINGE,C13
"NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDA, DO LÁBIO, CAVIDADE ORAL E FARINGE",C14
NEOPLASIA MALIGNA DO ESÔFAGO,C15
NEOPLASIA MALIGNA DO ESTÔMAGO,C16
NEOPLASIA MALIGNA DO INTESTINO DELGADO,C17
NEOPLASIA MALIGNA DO CÓLON,C18
NEOPLASIA MALIGNA DA JUNÇÃO RETOSSIGMÓIDE,C19
NEOPLASIA MALIGNA DO RETO,C20
NEOPLASIA MALIGNA DO ÂNUS E DO CANAL ANAL,C21
NEOPLASIA MALIGNA DO FÍGADO E DAS VIAS BILIARES INTRA-HEPÁTICAS,C22
NEOPLASIA MALIGNA DA VESÍCULA BILIAR,C23
"NEOPLASIA MALIGNA DE OUTRAS PARTES, E DE PARTES NÃO ESPECIFICADAS DAS VIAS BILIARES",C24
NEOPLASIA MALIGNA DO PÂNCREAS,C25
NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS DIGESTIVOS E DE LOCALIZAÇÕES MAL DEFINIDAS NO APARELHO DIGESTIVO,C26
NEOPLASIA MALIGNA DA CAVIDADE NASAL E DO OUVIDO MÉDIO,C30
NEOPLASIA MALIGNA DOS SEIOS DA FACE,C31
NEOPLASIA MALIGNA DA LARINGE,C32
NEOPLASIA MALIGNA DA TRAQUÉIA,C33
NEOPLASIA MALIGNA DOS BRÔNQUIOS E DOS PULMÕES,C34
NEOPLASIA MALIGNA DO TIMO,C37
"NEOPLASIA MALIGNA DO CORAÇÃO, MEDIASTINO E PLEURA",C38
NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDAS DO APARELHO RESPIRATÓRIO E DOS ÓRGÃOS INTRATORÁCICOS,C39
NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES DOS MEMBROS,C40
NEOPLASIA MALIGNA DOS OSSOS E DAS CARTILAGENS ARTICULARES DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS,C41
MELANOMA MALIGNO DA PELE,C43
OUTRAS NEOPLASIAS MALIGNAS DA PELE,C44
MESOTELIOMA,C45
SARCOMA DE KAPOSI,C46
NEOPLASIA MALIGNA DOS NERVOS PERIFÉRICOS E DO SISTEMA NERVOSO AUTÔNOMO,C47
NEOPLASIA MALIGNA DOS TECIDOS MOLES DO RETROPERITÔNIO E DO PERITÔNIO,C48
NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E DE OUTROS TECIDOS MOLES,C49
NEOPLASIA MALIGNA DA MAMA,C50
NEOPLASIA MALIGNA DA VULVA,C51
NEOPLASIA MALIGNA DA VAGINA,C52
NEOPLASIA MALIGNA DO COLO DO ÚTERO,C53
NEOPLASIA MALIGNA DO CORPO DO ÚTERO,C54
"NEOPLASIA MALIGNA DO ÚTERO, PORÇÃO NÃO ESPECIFICADA",C55
NEOPLASIA MALIGNA DO OVÁRIO,C56
NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS GENITAIS FEMININOS E DOS NÃO ESPECIFICADOS,C57
NEOPLASIA MALIGNA DA PLACENTA,C58
NEOPLASIA MALIGNA DO PÊNIS,C60
NEOPLASIA MALIGNA DA PRÓSTATA,C61
NEOPLASIA MALIGNA DOS TESTÍCULOS,C62
NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS GENITAIS MASCULINOS E DOS NÃO ESPECIFICADOS,C63
"NEOPLASIA MALIGNA DO RIM, EXCETO PELVE RENAL",C64
NEOPLASIA MALIGNA DA PELVE RENAL,C65
NEOPLASIA MALIGNA DOS URETERES,C66
NEOPLASIA MALIGNA DA BEXIGA,C67
NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS URINÁRIOS E DOS NÃO ESPECIFICADOS,C68
NEOPLASIA MALIGNA DO OLHO E ANEXOS,C69
NEOPLASIA MALIGNA DAS MENINGES,C70
NEOPLASIA MALIGNA DO ENCÉFALO,C71
"NEOPLASIA MALIGNA DA MEDULA ESPINHAL, DOS NERVOS CRANIANOS E DE OUTRAS PARTES DO SISTEMA NERVOSO CENTRAL",C72
NEOPLASIA MALIGNA DA GLÂNDULA TIREÓIDE,C73
NEOPLASIA MALIGNA DA GLÂNDULA SUPRA-RENAL [GLÂNDULA ADRENAL],C74
NEOPLASIA MALIGNA DE OUTRAS GLÂNDULAS ENDÓCRINAS E DE ESTRUTURAS RELACIONADAS,C75
NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDAS,C76
NEOPLASIA MALIGNA SECUNDÁRIA E NÃO ESPECIFICADA DOS GÂNGLIOS LINFÁTICOS,C77
NEOPLASIA MALIGNA SECUNDÁRIA DOS ÓRGÃOS RESPIRATÓRIOS E DIGESTIVOS,C78
NEOPLASIA MALIGNA SECUNDÁRIA DE OUTRAS LOCALIZAÇÕES,C79
"NEOPLASIA MALIGNA, SEM ESPECIFICAÇÃO DE LOCALIZAÇÃO",C80
DOENÇA DE HODGKIN,C81
"LINFOMA NÃO-HODGKIN, FOLICULAR (NODULAR)",C82
LINFOMA NÃO-HODGKIN DIFUSO,C83
LINFOMAS DE CÉLULAS T CUTÂNEAS E PERIFÉRICAS,C84
LINFOMA NÃO-HODGKIN DE OUTROS TIPOS E DE TIPO NÃO ESPECIFICADO,C85
DOENÇAS IMUNOPROLIFERATIVAS MALIGNAS,C88
MIELOMA MÚLTIPLO E NEOPLASIAS MALIGNAS DE PLASMÓCITOS,C90
LEUCEMIA LINFÓIDE,C91
LEUCEMIA MIELÓIDE,C92
LEUCEMIA MONOCÍTICA,C93
OUTRAS LEUCEMIAS DE CÉLULAS DE TIPO ESPECIFICADO,C94
LEUCEMIA DE TIPO CELULAR NÃO ESPECIFICADO,C95
"OUTRAS NEOPLASIAS MALIGNAS E AS NÃO ESPECIFICADAS DOS TECIDOS LINFÁTICO, HEMATOPOÉTICO E TECIDOS CORRELATOS",C96
NEOPLASIAS MALIGNAS DE LOCALIZAÇÕES MÚLTIPLAS INDEPENDENTES (PRIMÁRIAS),C97
"CARCINOMA IN SITU DA CAVIDADE ORAL, DO ESÔFAGO E DO ESTÔMAGO",D00
CARCINOMA IN SITU DE OUTROS ÓRGÃOS DIGESTIVOS,D01
CARCINOMA IN SITU DO OUVIDO MÉDIO E DO APARELHO RESPIRATÓRIO,D02
MELANOMA IN SITU,D03
CARCINOMA IN SITU DA PELE,D04
CARCINOMA IN SITU DA MAMA,D05
CARCINOMA IN SITU DO COLO DO ÚTERO (CÉRVIX),D06
